# ======================================================================
# Column reinforcement assignments  -  435 EAST 21 STREET, BROOKLYN NY  (rev.4)
# Source: 435E_21_STR-BK-S column schedule (S-016.00) + model dump v5. UTF-8 BOM. From CSV -> Run.
# REINF: [1]12x12 8(3x3)#4 noTie ends5 mid10 | [2]14x14 8(3x3)#4+tie ends6 mid12 | [3]16x16 12(4x4)#4 ends8 mid16.
# Ties: top/bottom quarter dense (drawing spacing, ZoneFraction .25); middle half doubled. Crossties[2][3].
# TOP:
#  * Coaxial same-size -> all bars Cranked (30d pen, slope 1:6, EqualizeEndHeight).
#  * Asymmetric/offset/rotated transition -> bars on the FLUSH faces Cranked to the real upper-cage
#    positions (LongCrankTargets); bars on the FAR face(s) (largest lower/upper outer-face gap) BENT
#    into slab; the perfectly-aligned bar falls back to the symmetric 1-dia crank (LongCrankUpperInset)
#    so its crank is not degenerate. The UPPER column gets STRAIGHT Column-host starter dowels only at
#    the bent positions (DowelPositions) lapping 30d into the lower col and 30d up into the upper cage.
#  * Top of stack -> bars Bent outward into slab 10d. Cover 1.5". Tie hook 135.
# ======================================================================
Mark,ExpectedSection,ExpectedW,ExpectedD,CoverSides,CoverEnds,LongBarType,LongBarsW,LongBarsD,LongTopDefault,LongTopModes,LongTopBentLeg,LongTopBentOutward,LongCrankUpperInset,LongCrankSlope,LongCrankLowerBendOffset,LongCrankPenetration,LongCrankEqualizeEndHeight,LongCrankedShape,LongCrankTargets,DowelsEnabled,DowelForm,DowelHost,DowelBarType,DowelExt,DowelEmbed,DowelPositions,StirrupBarType,StirrupSpacing,StirrupHookType,ConfBotEnabled,ConfBotSpacing,ConfBotZoneFraction,ConfTopEnabled,ConfTopSpacing,ConfTopZoneFraction,CrosstiesEnabled,CrosstiesAuto
#
# --- Coaxial same-size stack -> all bars Cranked ---
C1,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
# C1.3: + 3 straight Column-host dowels (idx 4 5 7) lapping C1.2 below
C1.3,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,true,Straight,Column,#7,27,27,4 5 7,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C1.4,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C1.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C1.6,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C2.2,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C2.3,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
